0.0	0.0	-60.0
0.0	0.5	-59.5
0.0	1.0	-59.0
0.0	1.5	-58.5
0.0	2.0	-58.0
0.0	2.5	-57.50000000000001
0.0	3.0	-57.0
0.0	3.5	-44.64285714285714
0.0	4.0	-37.99999999999999
0.0	4.5	-35.166666666666664
0.0	5.0	-35.0
0.0	5.5	-36.77272727272727
0.0	6.0	-40.0
0.0	6.5	-45.0
0.0	7.0	-49.99999999999999
0.0	7.5	-55.0
0.0	8.0	-60.0
0.0	8.5	-14.599999999999998
0.0	9.0	20.0
0.0	9.5	21.0
0.0	10.0	22.0

0.5	0.0	-61.5
0.5	0.5	-60.99999999999999
0.5	1.0	-60.5
0.5	1.5	-60.0
0.5	2.0	-59.5
0.5	2.5	-59.0
0.5	3.0	-58.5
0.5	3.5	-45.9
0.5	4.0	-38.25
0.5	4.5	-34.60714285714286
0.5	5.0	-34.03521126760563
0.5	5.5	-35.71875
0.5	6.0	-39.0
0.5	6.5	-44.0
0.5	7.0	-49.0
0.5	7.5	-54.0
0.5	8.0	-59.0
0.5	8.5	-14.156249999999998
0.5	9.0	19.5
0.5	9.5	20.5
0.5	10.0	21.5

1.0	0.0	-63.0
1.0	0.5	-62.5
1.0	1.0	-62.0
1.0	1.5	-61.5
1.0	2.0	-61.0
1.0	2.5	-60.5
1.0	3.0	-60.0
1.0	3.5	-47.07327586206897
1.0	4.0	-38.5
1.0	4.5	-34.09375
1.0	5.0	-33.12195121951219
1.0	5.5	-34.69414893617021
1.0	6.0	-38.0
1.0	6.5	-43.0
1.0	7.0	-48.0
1.0	7.5	-53.00000000000001
1.0	8.0	-58.0
1.0	8.5	-13.821428571428571
1.0	9.0	19.0
1.0	9.5	20.0
1.0	10.0	21.0

1.5	0.0	-20.0
1.5	0.5	-20.749999999999996
1.5	1.0	-21.499999999999996
1.5	1.5	-22.250000000000004
1.5	2.0	-23.000000000000004
1.5	2.5	-23.750000000000004
1.5	3.0	-24.499999999999996
1.5	3.5	-19.36931818181818
1.5	4.0	-16.625
1.5	4.5	-16.333333333333336
1.5	5.0	-18.06451612903226
1.5	5.5	-21.21875
1.5	6.0	-25.25
1.5	6.5	-29.75
1.5	7.0	-34.25
1.5	7.5	-38.75
1.5	8.0	-43.25
1.5	8.5	-36.93359375
1.5	9.0	-32.5
1.5	9.5	-34.99999999999999
1.5	10.0	-37.5

2.0	0.0	26.0
2.0	0.5	24.0
2.0	1.0	22.0
2.0	1.5	20.0
2.0	2.0	18.0
2.0	2.5	16.0
2.0	3.0	14.0
2.0	3.5	10.931034482758621
2.0	4.0	7.0
2.0	4.5	2.5
2.0	5.0	-2.292682926829268
2.0	5.5	-7.170212765957446
2.0	6.0	-12.0
2.0	6.5	-16.0
2.0	7.0	-20.0
2.0	7.5	-24.000000000000004
2.0	8.0	-28.0
2.0	8.5	-58.714285714285715
2.0	9.0	-82.0
2.0	9.5	-88.0
2.0	10.0	-94.0

2.5	0.0	27.5
2.5	0.5	25.5
2.5	1.0	23.5
2.5	1.5	21.5
2.5	2.0	19.5
2.5	2.5	17.5
2.5	3.0	15.499999999999998
2.5	3.5	12.4
2.5	4.0	8.5
2.5	4.5	4.071428571428572
2.5	5.0	-0.6690140845070424
2.5	5.5	-5.5625
2.5	6.0	-10.5
2.5	6.5	-14.5
2.5	7.0	-18.5
2.5	7.5	-22.5
2.5	8.0	-26.5
2.5	8.5	-57.083333333333336
2.5	9.0	-80.5
2.5	9.5	-86.5
2.5	10.0	-92.5

3.0	0.0	29.0
3.0	0.5	27.0
3.0	1.0	25.0
3.0	1.5	23.0
3.0	2.0	21.0
3.0	2.5	19.0
3.0	3.0	17.0
3.0	3.5	13.857142857142858
3.0	4.0	10.0
3.0	4.5	5.666666666666667
3.0	5.0	1.0000000000000002
3.0	5.5	-3.9090909090909096
3.0	6.0	-9.0
3.0	6.5	-13.0
3.0	7.0	-17.0
3.0	7.5	-21.0
3.0	8.0	-24.999999999999996
3.0	8.5	-55.4
3.0	9.0	-79.0
3.0	9.5	-85.0
3.0	10.0	-91.0

3.5	0.0	30.5
3.5	0.5	28.5
3.5	1.0	26.5
3.5	1.5	24.5
3.5	2.0	22.5
3.5	2.5	20.5
3.5	3.0	18.5
3.5	3.5	15.400000000000002
3.5	4.0	11.5
3.5	4.5	7.071428571428572
3.5	5.0	2.3309859154929575
3.5	5.5	-2.5625000000000004
3.5	6.0	-7.5
3.5	6.5	-11.5
3.5	7.0	-15.5
3.5	7.5	-19.5
3.5	8.0	-23.5
3.5	8.5	-54.08333333333333
